"관리번호","자치구","와이파이명","도로명주소","상세주소","설치위치(층)","설치유형","설치기관","서비스구분","망종류","설치년도","실내외구분","wifi접속환경","Y좌표","X좌표","작업일자"
"ARI00026","서대문구","서울아리수본부","서소문로 51","본관 6F 직장협의회(노동조합)","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.561924","126.96675","2025-12-22 15:12:01.0"
"ARI00027","서대문구","서울아리수본부","서소문로 51","별관 2F 차량지원실","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.561924","126.96675","2025-12-22 15:12:01.0"
"ARI00028","서대문구","서울아리수본부","서소문로 51","별관 2F 전산정보과","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.561924","126.96675","2025-12-22 15:12:01.0"
"ARI00029","서대문구","서울아리수본부","서소문로 51","별관 3F 사무실","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.561924","126.96675","2025-12-22 15:12:01.0"
"ARI00030","서대문구","서울아리수본부","서소문로 51","별관 3F 전산교육장","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.561924","126.96675","2025-12-22 15:12:01.0"
"ARI00031","서대문구","서울아리수본부","서소문로 51","별관 4F 감사장","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.561924","126.96675","2025-12-22 15:12:01.0"
"ARI00032","서대문구","서울아리수본부","서소문로 51","본관 B1F 기계실","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.561924","126.96675","2025-12-22 15:12:01.0"
"ARI00033","서대문구","서울아리수본부","서소문로 51","본관 B1F 전기실","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.561924","126.96675","2025-12-22 15:12:01.0"
"ARI00034","서대문구","서울아리수본부","서소문로 51","본관 B1F 구내식당","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.561924","126.96675","2025-12-22 15:12:01.0"
"ARI00035","서대문구","서울아리수본부","서소문로 51","본관 5층 유지보수실","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.561924","126.96675","2025-12-22 15:12:01.0"
"ARI00036","중구","중부수도사업소","장충단로 88","본관 B1F 기간제근로자 대기실1","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.553608","127.0031","2025-12-22 15:12:01.0"
"ARI00037","중구","중부수도사업소","장충단로 88","본관 1F GIS 편집실 복도","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.553608","127.0031","2025-12-22 15:12:01.0"
"ARI00038","중구","중부수도사업소","장충단로 88","본관 1F 누수탐지실 복도","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.553608","127.0031","2025-12-22 15:12:01.0"
"ARI00039","중구","중부수도사업소","장충단로 88","본관 1F 행정민원지원과","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.553608","127.0031","2025-12-22 15:12:01.0"
"ARI00040","중구","중부수도사업소","장충단로 88","본관 1F 당직실","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.553608","127.0031","2025-12-22 15:12:01.0"
"ARI00041","중구","중부수도사업소","장충단로 88","본관 2F 요금과","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.553608","127.0031","2025-12-22 15:12:01.0"
"ARI00042","중구","중부수도사업소","장충단로 88","본관 2F 현장민원과","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.553608","127.0031","2025-12-22 15:12:01.0"
"ARI00043","중구","중부수도사업소","장충단로 88","본관 2F 행정수질지원과","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.553608","127.0031","2025-12-22 15:12:01.0"
"ARI00044","중구","중부수도사업소","장충단로 88","본관 2F 행정지원과","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.553608","127.0031","2025-12-22 15:12:01.0"
"ARI00045","중구","중부수도사업소","장충단로 88","본관 2F 회의실","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.553608","127.0031","2025-12-22 15:12:01.0"
"ARI00046","중구","중부수도사업소","장충단로 88","본관 2F 소장실","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.553608","127.0031","2025-12-22 15:12:01.0"
"ARI00047","중구","중부수도사업소","장충단로 88","본관 3F 시설관리과-1","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.553608","127.0031","2025-12-22 15:12:01.0"
"ARI00048","중구","중부수도사업소","장충단로 88","본관 3F 시설관리과-2","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.553608","127.0031","2025-12-22 15:12:01.0"
"ARI00049","중구","중부수도사업소","장충단로 88","본관 3F 강당","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.553608","127.0031","2025-12-22 15:12:01.0"
"ARI00050","중구","중부수도사업소","장충단로 88","본관 3F 급수운영과","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.553608","127.0031","2025-12-22 15:12:01.0"
"ARI00051","중구","중부수도사업소","장충단로 88","본관 B1F","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.553608","127.0031","2025-12-22 15:12:01.0"
"ARI00052","중구","중부수도사업소","장충단로 88","본관 2F 화장실앞 복도","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.553608","127.0031","2025-12-22 15:12:01.0"
"ARI00053","중구","중부수도사업소","장충단로 88","별관 1F 체력단련실","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.553608","127.0031","2025-12-22 15:12:01.0"
"ARI00054","중구","중부수도사업소","장충단로 88","별관 2F 구내식당","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.553608","127.0031","2025-12-22 15:12:01.0"
"ARI00055","서대문구","서부수도사업소","통일로26길 41","본관 1F 아리수품질확인제 추진반","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.583054","126.952415","2025-12-22 15:12:01.0"
"ARI00056","서대문구","서부수도사업소","통일로26길 41","본관 1F 종합상황실","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.583054","126.952415","2025-12-22 15:12:01.0"
"ARI00057","서대문구","서부수도사업소","통일로26길 41","본관 2F 현장민원과","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.583054","126.952415","2025-12-22 15:12:01.0"
"ARI00058","서대문구","서부수도사업소","통일로26길 41","본관 2F 행정민원지원실","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.583054","126.952415","2025-12-22 15:12:01.0"
"ARI00059","서대문구","서부수도사업소","통일로26길 41","본관 2F 민주노동조합 복도","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.583054","126.952415","2025-12-22 15:12:01.0"
"ARI00060","서대문구","서부수도사업소","통일로26길 41","본관 3F 시설관리과","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.583054","126.952415","2025-12-22 15:12:01.0"
"ARI00061","서대문구","서부수도사업소","통일로26길 41","본관 3F 급수운영과","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.583054","126.952415","2025-12-22 15:12:01.0"
"ARI00062","서대문구","서부수도사업소","통일로26길 41","본관 3F GIS 전산실 복도","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.583054","126.952415","2025-12-22 15:12:01.0"
"ARI00063","서대문구","서부수도사업소","통일로26길 41","본관 4F 요금과","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.583054","126.952415","2025-12-22 15:12:01.0"
"ARI00064","서대문구","서부수도사업소","통일로26길 41","본관 4F 회의실","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.583054","126.952415","2025-12-22 15:12:01.0"
"ARI00065","서대문구","서부수도사업소","통일로26길 41","본관 4F 소장실","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.583054","126.952415","2025-12-22 15:12:01.0"
"ARI00066","서대문구","서부수도사업소","통일로26길 41","본관 4F 행정지원과","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.583054","126.952415","2025-12-22 15:12:01.0"
"ARI00067","서대문구","서부수도사업소","통일로26길 41","본관 5F 식당 복도","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.583054","126.952415","2025-12-22 15:12:01.0"
"ARI00068","서대문구","서부수도사업소","통일로26길 41","본관 5F 여직원휴게실 복도","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.583054","126.952415","2025-12-22 15:12:01.0"
"ARI00069","서대문구","서부수도사업소","통일로26길 41","별관 1F 시설관리용역실","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.583054","126.952415","2025-12-22 15:12:01.0"
"ARI00070","서대문구","서부수도사업소","통일로26길 41","본관 2F 청소사무실 안","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.583054","126.952415","2025-12-22 15:12:01.0"
"ARI00071","서대문구","서부수도사업소","통일로26길 41","별관 2F 휴게실 안","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.583054","126.952415","2025-12-22 15:12:01.0"
"ARI00073","성동구","동부수도사업소","고산자로10길 13","본관 B1F 체력단력실 복도","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.55928","127.03539","2025-12-22 15:12:01.0"
"ARI00074","성동구","동부수도사업소","고산자로10길 13","본관 1F 복도","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.55928","127.03539","2025-12-22 15:12:01.0"
"ARI00075","성동구","동부수도사업소","고산자로10길 13","별관 1F 계량기 교체반","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.55928","127.03539","2025-12-22 15:12:01.0"
"ARI00076","성동구","동부수도사업소","고산자로10길 13","본관 1F 행정지원과-1","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.55928","127.03539","2025-12-22 15:12:01.0"
"ARI00077","성동구","동부수도사업소","고산자로10길 13","본관 1F 행정지원과-2","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.55928","127.03539","2025-12-22 15:12:01.0"
"ARI00078","성동구","동부수도사업소","고산자로10길 13","본관 2F 현장민원과","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.55928","127.03539","2025-12-22 15:12:01.0"
"ARI00079","성동구","동부수도사업소","고산자로10길 13","본관 2F 소장실","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.55928","127.03539","2025-12-22 15:12:01.0"
"ARI00080","성동구","동부수도사업소","고산자로10길 13","본관 2F 요금과-1","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.55928","127.03539","2025-12-22 15:12:01.0"
"ARI00081","성동구","동부수도사업소","고산자로10길 13","본관 2F 요금과-2","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.55928","127.03539","2025-12-22 15:12:01.0"
"ARI00083","성동구","동부수도사업소","고산자로10길 13","본관 3F 시설관리과-1","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.55928","127.03539","2025-12-22 15:12:01.0"
"ARI00084","성동구","동부수도사업소","고산자로10길 13","본관 3F 시설관리과-2","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.55928","127.03539","2025-12-22 15:12:01.0"
"ARI00085","성동구","동부수도사업소","고산자로10길 13","본관 3F 급수운영과-1","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.55928","127.03539","2025-12-22 15:12:01.0"
"ARI00086","성동구","동부수도사업소","고산자로10길 13","본관 3F 급수운영과-2","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.55928","127.03539","2025-12-22 15:12:01.0"
"ARI00087","성동구","동부수도사업소","고산자로10길 13","본관 B1F 대기실","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.55928","127.03539","2025-12-22 15:12:01.0"
"ARI00088","성동구","동부수도사업소","고산자로10길 13","본관 B1F 기계실 복도","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.55928","127.03539","2025-12-22 15:12:01.0"
"ARI00089","성동구","동부수도사업소","고산자로10길 13","본관 3F GIS실","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.55928","127.03539","2025-12-22 15:12:01.0"
"ARI00090","강북구","북부수도사업소","한천로 935","본관 1F 당직실","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.634155","127.036125","2025-12-22 15:12:01.0"
"ARI00091","강북구","북부수도사업소","한천로 935","본관 1F 행정지원과-1","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.634155","127.036125","2025-12-22 15:12:01.0"
"ARI00092","강북구","북부수도사업소","한천로 935","본관 1F 행정지원과-2","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.634155","127.036125","2025-12-22 15:12:01.0"
"ARI00093","강북구","북부수도사업소","한천로 935","본관 2F 소장실","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.634155","127.036125","2025-12-22 15:12:01.0"
"ARI00094","강북구","북부수도사업소","한천로 935","본관 2F 현장민원과","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.634155","127.036125","2025-12-22 15:12:01.0"
"ARI00095","강북구","북부수도사업소","한천로 935","본관 2F 요금과-1","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.634155","127.036125","2025-12-22 15:12:01.0"
"ARI00096","강북구","북부수도사업소","한천로 935","본관 2F 요금과-2","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.634155","127.036125","2025-12-22 15:12:01.0"
"ARI00097","강북구","북부수도사업소","한천로 935","본관 3F 노동조합사무실","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.634155","127.036125","2025-12-22 15:12:01.0"
"ARI00098","강북구","북부수도사업소","한천로 935","본관 3F 시설관리과-1","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.634155","127.036125","2025-12-22 15:12:01.0"
"ARI00099","강북구","북부수도사업소","한천로 935","본관 3F 시설관리과-2","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.634155","127.036125","2025-12-22 15:12:01.0"
"ARI00100","강북구","북부수도사업소","한천로 935","본관 4F 급수운영과-1","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.634155","127.036125","2025-12-22 15:12:01.0"
"ARI00101","강북구","북부수도사업소","한천로 935","본관 4F 급수운영과-2","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.634155","127.036125","2025-12-22 15:12:01.0"
"ARI00102","강북구","북부수도사업소","한천로 935","별관 1F 계량기반","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.634155","127.036125","2025-12-22 15:12:01.0"
"ARI00103","강북구","북부수도사업소","한천로 935","별관 3F 강당","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.634155","127.036125","2025-12-22 15:12:01.0"
"ARI00104","강북구","북부수도사업소","한천로 935","본관 B1F 휴게실","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.634155","127.036125","2025-12-22 15:12:01.0"
"ARI00105","강북구","북부수도사업소","한천로 935","본관 1F 실험실","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.634155","127.036125","2025-12-22 15:12:01.0"
"ARI00106","강북구","북부수도사업소","한천로 935","본관 4F 회의실","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.634155","127.036125","2025-12-22 15:12:01.0"
"ARI00107","강북구","북부수도사업소","한천로 935","본관 4F GIS 실","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.634155","127.036125","2025-12-22 15:12:01.0"
"ARI00108","강북구","북부수도사업소","한천로 935","본관 3F 청소미화원실","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.634155","127.036125","2025-12-22 15:12:01.0"
"ARI00109","양천구","강서수도사업소","목동동로 151","본관 1F 복도","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.519573","126.86976","2025-12-22 15:12:01.0"
"ARI00110","양천구","강서수도사업소","목동동로 151","본관 B1F 복도","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.519573","126.86976","2025-12-22 15:12:01.0"
"ARI00112","양천구","강서수도사업소","목동동로 151","본관 1F 행정민원지원과-2","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.519573","126.86976","2025-12-22 15:12:01.0"
"ARI00113","양천구","강서수도사업소","목동동로 151","본관 2F 현장민원과","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.519573","126.86976","2025-12-22 15:12:01.0"
